Name,Range,Type,Stat,Frequency,DiceRoll,Effects,Granted Skills,Contest Stat,Contest Keyword
Kinesis,Ranged(10ft),Psychic,Effect,At-Will,,"On hit, the target’s Accuracy Checks are -1 during their next turn. This effect cannot be stacked.",,Clever,Get Ready!
King’s Shield,Self,Steel,Effect,1/day,,"King’s Shield is used as a Reaction. If you are hit by an enemy with an attack that makes contact with you, ignore the damage and any effects of the attack and the attacker’s Attack is -4 for 10 mins. This effect cannot be stacked.",,Tough,Appeal
King’s Strike,Ranged (30ft beam),(Variable),Attack,1/day,3d12,"King’s Strike is the type your Knight’s Sword is attuned to. Choose one:-King’s Strike deals 4d12 damage instead.-You and all your allies within 100 ft gain a +2 bonus to Attack, Defense, Special Attack, Special Defense, or Speed for one round. This cannot be stacked.-The range of King’s Strike is 60ft, 10 ft wave",,,
Knight’s Strike,Melee,(Variable),Attack,At-Will,2d6,"Knight’s Strike is the type your Knight’s Sword is attuned to. Choose one each time you use Knight’s Strike:-On a hit, the target takes a -2 penalty to Attack, Defense, Special Attack, Special Defense, or Speed for one round. This cannot be stacked.-On a hit, gain a +2 bonus to Attack, Defense, Special Attack, Special Defense, or Speed for one round. You take a -1 penalty to skill checks related to the relevant stat for one round (netting no overall bonus or penalty to skills). This cannot be stacked.-Knight’s Sword deals 2d8 instead.-Knight’s Sword is ranged (15 ft beam).",,,
Knock Off,Melee,Dark,Attack,3/day,3d8,"On hit, the target drops any held items or weapons.",,Clever,Appeal
Land's Wrath,Ranged(40ft),Ground,Attack,3/day,5d12,,,,
Language,Self,Normal,Effect,At-Will,,"Language takes up a move slot, but is not an attack or move with any affect in battle. Language can be learned multiple times. When Language is acquired, chose a human language. You are capable of speaking basic sentences in the chosen languages. If the same human language is chosen by multiple instances of Language, you can speak that language at any level complexity.",,,
Laser Focus,Ranged(30ft),Normal,Effect,3/day,,"On hit, your next attack against the same target will be a Critical Hit. You still need to make an Accuracy Check.",,Clever,Good Show!
Lash Out,Melee,Dark,Attack,1/day,3d12,"If your stats were lowered this round by the target, use 6d12 for damage instead.",,Cute,Inversed Appeal
Lava Plume,Ranged(20ft burst),Fire,Special,1/day,3d8,"On hit, if you got 14 or higher on Accuracy Check, targets are burned.",,Tough,Round Starter
Leaf Blade,Melee,Grass,Attack,3/day,3d10,"On hit, if you got 18 or higher on Accuracy Check, Leaf Blade is a critical hit.",,Cool,Round Starter
Leaf Storm,Ranged(30ft beam),Grass,Special,1/day,5d12,"After use, your Special Attack is -4 for 10 mins. This effect cannot be stacked.",,Cute,Seen Nothing Yet
Leaf Tornado,Ranged(10ft),Grass,Special,At-Will,2d8,,,Beauty,Good Show!
Leafage,Ranged(20ft),Grass,Special,At-Will,1d12,,,Cute,Appeal
Leech Life,Melee,Bug,Attack,3/day,2d8,"On hit, you regain HP equal to half of the damage dealt.",,Clever,Good Show!
Leech Seed,Ranged(10ft),Grass,Effect,1/day,,"On hit, the target gets a Seed Coat. The Coat has the following ability: At the beginning of your turn, if you are within 20 ft of the enemy who gave you the Seed Coat, you lose 1d12 HP. The enemy who gave you the Seed Coat will gain the same amount of HP that you lost. This Coat lasts for 3 mins, or until you are at 0 or less HP.",Sprouter,Clever,Torrential Appeal
Let’s Snuggle Forever,Melee,Fairy,Attack,1/day,10d12,"Immediately move next to your target, then roll your accuracy check.",,,
Lick,Melee,Ghost,Attack,At-Will,1d8,"On hit, if you got 15 or higher on Accuracy Check, the target is Paralyzed.",,Tough,Inversed Appeal
Licking,Melee,Ghost,Attack,At-Will,2d6,,,,
Life Dew,Ranged(20ft burst),Water,Effect,1/day,,You and any allies in range are each healed HP equal to 1/6th of your Max HP.,,Beauty,Incredible
Light Screen,Ranged(30ft),Normal,Effect,3/day,,"Place 40ft of contiguous Light Screen Wall. Light Screen Wall is see through, 12 ft tall, and has the following ability: Special Attacks that target through this wall deal 10 less damage. This Wall disappears after 2 mins.",,Beauty,Hold That Thought
Liquidation,Ranged(10ft),Water,Attack,3/day,3d10,"On hit, the target’s Defense is -1 for 10 mins. This effect cannot be stacked.",Fountain,Tough,Round Ender
Lock-On,Ranged(40ft),Normal,Effect,1/day,,Your next attack against the same target will not miss.,,Clever,Good Show!
Lovely Kiss,Melee,Normal,Effect,3/day,,"Lovely Kiss has -3 during Accuracy Check. On hit, the target is put Asleep.",,Beauty,Excitement
Low Kick,Melee,Fighting,Attack,3/day,3d10,Low Kick can only target heavier targets.,,Tough,Appeal
Low Sweep,Melee,Fighting,Attack,At-Will,2d8,"On hit, the target’s Speed is -1 for 10 mins. This effect cannot be stacked.",,Tough,Appeal
Lucky Chant,Ranged(30ft burst),Normal,Effect,3/day,,"Put a Lucky Coat on all allies and yourself. The Coat has the following ability: If you are hit by a Critical Hit, treat the hit as a regular successful hit. This Coat lasts for 2 rounds.",,Cute,Hold That Thought
Lunar Dance,Ranged(100ft),Psychic,Effect,1/day,,"Your HP is set to 100 unless it’s below 100, the target recovers 500 HP and is cured of any afflictions.",,,
Lunge,Melee,Bug,Attack,3/day,3d8,"On hit, the target’s Attack is -1 for 10 mins. This effect cannot be stacked.",,Tough,Attention Grabber
Luster Purge,Ranged(20 ft),Psychic,Special,3/day,5d10,"On hit, the target’s Special Defense is -10 for 10 mins. This effect cannot be stacked.",,,
Mach Punch,Melee,Fighting,Attack,At-Will,2d6,Mach Punch has Priority.,,Cool,Quick Set
Mach Speeds,Self,Normal,Effect,3/day,,"Your Speed is +8 for 10 mins, your Defense and Special Defense is -3 for 10 mins. This effect cannot be stacked.",,,
Magic Coat,Melee,Psychic,Effect,3/day,,"Put a Magic Coat on the target or yourself. The Coat has the following ability: If you would be given an affliction by a foe, instead that foe receives the affliction. This Coat lasts for 2 rounds.",,Beauty,Final Appeal
Magic Powder,Melee,Psychic,Effect,3/day,,"On hit, put a Weird Coat on the target. The Coat has the following ability: You lose your Types and become only Psychic-type for 10 mins.",,Cute,Excitement
Magic Room,Field,Psychic,Effect,3/day,,"You create a circle of Magical Terrain with a 60ft diameter. If within the Magical terrain, Pokémon cannot use any held items. This terrain disappears after 2 mins.",,Cute,Scrambler
Magical Leaf,Ranged(25ft),Grass,Special,3/day,3d8,You can’t miss targets with less than 15 Special Defense.,,Beauty,Round Starter
Magma Storm,"Ranged(30ft, 20ft blast)",Fire,Special,1/day,5d20,"On hit, all targets are bound to ground for 1d4 turns. For each turn the target is bound, it takes 1d20 damage.",,,
Magnet Bomb,Ranged(25ft),Steel,Attack,3/day,3d8,You can’t miss targets with less than 15 Defense.,Magnetic,Cool,Appeal
Magnet Pull,Ranged(10ft),Electric,Effect,3/day,,"Magnet Pull can’t miss. On hit, the Steel type target is bound to you.",Magnetic,Clever,Slow Set
Magnet Rise,Self,Electric,Effect,3/day,,You gain an immunity to Ground type attacks and gain a flight movement speed equal to half your land speed for two mins.,Magnetic AND Hover,Cute,Hold That Thought
Malicious Moonsault,Melee(40ft burst),Dark,Attack,1/day,8d12,"Immediately move next to your target, then roll your accuracy check.",,,
Mat Block,Ranged(10ft),Fighting,Effect,1/day,,"Mat Block is used as a Reaction. If an ally within range is hit by an attack, move to that ally and ignore the damage and any effects of the attack.",,Cool,Inversed Appeal
Max Airstream,"Ranged(80ft, 30ft blast)",Flying,(Variable),At-Will,4d12,"On hit, all allies within 60ft have +1 speed for 2 mins. You cannot act during the next round.",,,
Max Darkness,"Ranged(80ft, 30ft blast)",Dark,(Variable),At-Will,4d12,"On hit, all targets Special Defense is -1 for 2 mins. You cannot act during the next round.",,,
Max Flare,"Ranged(80ft, 30ft blast)",Fire,(Variable),At-Will,4d12,"At the center of the blast, you create a circle of Sunny Weather with a 60ft diameter. Within the Sunny weather, Fire-type attacks deal an additional 8 damage and Water-type attacks deal 8 less damage. This weather disappears after 2 mins. You cannot act during the next round.",,,
Max Flutterby,"Ranged(80ft, 30ft blast)",Bug,(Variable),At-Will,4d12,"On hit, all targets Special Attack is -1 for 2 mins. You cannot act during the next round.",,,
Max Geyser,"Ranged(80ft, 30ft blast)",Water,(Variable),At-Will,4d12,"At the center of the blast, you create a circle of Raining Weather with a 60ft diameter. Within the Raining weather, Water-type attacks deal an additional 8 damage and Fire-type attacks deal 8 less damage. This weather disappears after 2 mins. You cannot act during the next round.",,,
Max Guard,Self,Normal,Effect,3/day,,Prevent the next 30 damage you would receive until your next action.,,,
Max Hailstorm,"Ranged(80ft, 30ft blast)",Ice,(Variable),At-Will,4d12,"At the center of the blast, you create a circle of Hailing Weather with a 60ft diameter. Anyone who acts within the Hailing weather takes 2d4 damage after acting unless they are Ice Type. This weather disappears after 2 mins. You cannot act during the next round.",,,
Max Knuckle,"Ranged(80ft, 30ft blast)",Fighting,(Variable),At-Will,4d12,"On hit, all allies within 60ft have +1 Attack for 2 mins. You cannot act during the next round.",,,
Max Lightning,"Ranged(80ft, 30ft blast)",Electric,(Variable),At-Will,4d12,"At the center of the blast, you create a circle of Electrified Terrain with a 60ft diameter. Anyone touching the ground within the Electrified terrain is immune to being put to Sleep. This terrain disappears after 2 mins. You cannot act during the next round",,,
Max Mindstorm,"Ranged(80ft, 30ft blast)",Psychic,(Variable),At-Will,4d12,"At the center of the blast, you create a circle of Psychic Terrain with a 60ft diameter. If touching the ground, within the Psychic Terrain, Priority and Reaction moves may not be used. This terrain disappears after 2 mins. You cannot act during the next round",,,
Max Ooze,"Ranged(80ft, 30ft blast)",Poison,(Variable),At-Will,4d12,"On hit, all allies within 60ft have +1 Special Attack for 2 mins. You cannot act during the next round.",,,
Max Overgrowth,"Ranged(80ft, 30ft blast)",Grass,(Variable),At-Will,4d12,"At the center of the blast, you create a circle of Grassy Terrain with a 60ft diameter. Anyone who acts within the Grassy terrain recovers 1d12 HP after acting. This terrain disappears after 2 mins. You cannot act during the next round.",,,
Max Phantasm,"Ranged(80ft, 30ft blast)",Ghost,(Variable),At-Will,4d12,"On hit, all targets Defense is -1 for 2 mins. You cannot act during the next round.",,,
Max Quake,"Ranged(80ft, 30ft blast)",Ground,(Variable),At-Will,4d12,"On hit, all allies within 60ft have +1 Special Defense for 2 mins. You cannot act during the next round.",,,
Max Rockfall,"Ranged(80ft, 30ft blast)",Rock,(Variable),At-Will,4d12,"At the center of the blast, you create a circle of Sandstorming Weather with a 60ft diameter. Anyone who acts within the Sandstorming weather takes 2d4 damage after acting unless they are Rock-type, Ground-type, or Steel-type. This weather disappears after 2 mins. You cannot act during the next round.",,,
Max Starfall,"Ranged(80ft, 30ft blast)",Fairy,(Variable),At-Will,4d12,"At the center of the blast, you create a circle of Misty Terrain with a 60ft diameter. Within the Misty terrain, Dragon-type attacks are resisted by anyone who is not already resistant to Dragon-type attacks and afflictions cannot be given to anyone. This terrain disappears after 2 mins. You cannot act during the next round",,,
Max Steelspike,"Ranged(80ft, 30ft blast)",Steel,(Variable),At-Will,4d12,"On hit, all allies within 60ft have +1 Defense for 2 mins. You cannot act during the next round.",,,
Max Strike,"Ranged(80ft, 30ft blast)",Normal,(Variable),At-Will,4d12,"On hit, all targets Speed is -1 for 2 mins. You cannot act during the next round.",,,
Max Wyrmwind,"Ranged(80ft, 30ft blast)",Dragon,(Variable),At-Will,4d12,"On hit, all targets Attack is -1 for 2 mins. You cannot act during the next round",,,
Mean Look,Ranged(10ft),Normal,Effect,1/day,,"On hit, the target is bound in place for 2 mins. Ghost Pokémon are immune to Mean Look.",,Beauty,Unsettling
Mega Drain,Melee,Grass,Special,3/day,2d10,"On hit, you regain HP equal to half of the damage dealt.",,Clever,Good Show!
Mega Evolution,Self,Normal,Effect,3/day,,"As a free action, Mega Evolve into Mega Mewtwo X or Mega Mewtwo Y if Mewtwo possesses a Mega Stone for 10 mins.",,,
Mega Kick,Melee,Normal,Attack,1/day,5d12,Mega Kick has -3 during Accuracy Check.,,Cool,Round Ender
Mega Punch,Melee,Normal,Attack,3/day,3d8,,,Tough,Round Ender
Megahorn,Melee,Bug,Attack,1/day,5d12,,,Cool,Round Ender
Memento,Melee,Dark,Effect,1/day,,"Your HP is set to 0, then the target’s Attack and Special Attack are set to 0 for 10 mins.",,Tough,Big Show
Metal Burst,Ranged(40ft),Steel,Effect,1/day,,"Metal Burst is used as a Reaction. If you are hit by an enemy with an attack and the enemy is within range, deal exactly 1.5x the damage to the enemy that you received after taking damage. Do not apply weakness or resistances.",,Beauty,Final Appeal
Metal Claw,Melee,Steel,Attack,At-Will,2d6,"On hit, your Attack is +1 for 10 mins. This effect cannot be stacked.",,Cool,Incentives
Metal Cut,Melee,Steel,Attack,At-Will,2d6,,,,
Meteor Assault,Melee,Fighting,Attack,1/day,5d12,"On hit, the target is Stunned.",,Cool,Big Show
Meteor Beam,Ranged(30ft beam),Rock,Special,1/day,5d12,"When you use this attack you immediately end your turn. During your next turn you may move then roll Meteor Beam’s accuracy check and damage. During Meteor Beam’s accuracy check and damage, your Special Attack is +4.",,Clever,Round Starter
Meteor Mash,Melee,Steel,Attack,3/day,3d10,"On hit, your Attack is +1 for 10 mins. This effect cannot be stacked.",,Cool,Round Ender
Meteor Rain,"Ranged(20ft, 10ft blast)",Steel,Special,1/day,5d12,"After use, your Special Attack is -4 for 10 mins. This effect cannot be stacked.",,,
Metronome,Varies,Normal,Effect,3/day,,Immediately use a random attack (non-Legendary).,,Cute,Scrambler
Migraine,Self,Normal,Effect,3/day,,"You lose HP equal to half of your Max HP, then your Special Attack is +6 for 10 mins. This effect cannot be stacked.",,,
Milk Drink,Melee,Normal,Effect,1/day,,Target an ally or yourself. The target is healed HP equal to half of the target’s Max HP.,,Cute,Reflective Appeal
Mind Blown,Ranged(20ft burst),Fire,Special,1/day,5d20,"On hit, you lose HP equal to ½ of the damage you deal.",,,
Mind Reader,Ranged(40ft),Normal,Effect,1/day,,"Mind Reader can’t miss. Your next attack against the same target will not 
miss.",Telepath,Clever,Good Show!
Mind Rise,Self,Psychic,Effect,3/day,,You gain an immunity to Ground type attacks and gain a flight movement speed equal to your land speed for two mins.,,,
Mind-reading Disable,Ranged(20ft),Normal,Effect,3/day,,Chose an attack the target knows. That move cannot be used by the target for 5 mins.,,,
Minimize,Self,Normal,Effect,3/day,,"Until your next turn, attacks made against you have -2 during Accuracy Check. This effect cannot be stacked.",Shrinkable,Cute,Hold That Thought
Miracle Eye,Self,Psychic,Effect,3/day,,You can hit Dark-types with Psychic type moves as if they are not immune to that type of attacks for two mins.,,Cute,Good Show!
Mirror Coat,Ranged(40ft),Psychic,Effect,1/day,,"Mirror Coat is used as a Reaction. After an enemy hits you with a ranged Special Attack move that deals damage, use Mirror Coat to deal exactly twice the damage to the enemy that you received. Do not apply weakness or resistances.",,Beauty,Final Appeal
Mirror Move,Ranged(30ft),Flying,Effect,1/day,,"You perform the same attack that was just used against you, even if it missed.",,Clever,Final Appeal
Mirror Shot,Ranged(20ft),Steel,Special,At-Will,2d8,,,Cute,Round Starter
Mist,Field,Ice,Effect,3/day,,"You create a circle of Misty Weather with a 60ft diameter. Within the Misty weather, Stats cannot be lowered. This weather disappears after 2 mins.",,Beauty,Hold That Thought
Mist Ball,Ranged(30ft),Psychic,Special,3/day,5d10,"On hit, target’s Special Attack is -10 for 10 mins.",,,
Misty Explosion,Ranged(30ft burst),Fairy,Special,1/day,7d20,"Set your HP to 0, then roll 1d20. On 10 or less, your HP is set to -100% HP and you must make a death savings throw.",,Cute,Big Show
Misty Terrain,Field,Fairy,Effect,3/day,,"You create a circle of Misty Terrain with a 60ft diameter. Within the Misty terrain, Dragon-type attacks are resisted by anyone who is not already resistant to Dragon-type attacks and afflictions cannot be given to anyone. This terrain disappears after 2 mins.",,Cute,Scrambler
Moonblast,Ranged(20ft),Fairy,Special,3/day,3d10,"On hit, the target’s Special Attack is -1 for 10 mins. This effect cannot be stacked.",,Beauty,Reflective Appeal
Moongeist Beam,Ranged(40ft beam),Ghost,Special,3/day,5d20,Moongeist Beam has +2 during Accuracy Check.,,,
Moonlight,Melee,Fairy,Effect,1/day,,"Target an ally or yourself. The target is healed HP equal to half of the target’s Max HP. If you are within Sunny Weather, the target is healed HP equal to 3/4ths of the target’s Max HP instead.",,Beauty,Reflective Appeal
Moonwrecker,"Ranged(20ft, 10ft blast)",Fairy,Special,1/day,5d12,"After use, your Special Attack is -4 for 10 mins. This effect cannot be stacked.",,,
Morning Sun,Melee,Normal,Effect,1/day,,"Target an ally or yourself. The target is healed HP equal to half of the target’s Max HP. If you are within Sunny Weather, the target is healed HP equal to 3/4ths of the target’s Max HP instead.",,Beauty,Reflective Appeal
Mud Bomb,Ranged(10ft),Ground,Special,3/day,3d8,"On hit, the target’s Accuracy Checks are -1 during their next turn. This effect cannot be stacked.",,Clever,Round Ender
Mud Shot,Ranged(10ft),Ground,Special,At-Will,2d8,"On hit, the target’s Speed is -1 for 10 mins. This effect cannot be stacked.",,Tough,Slow Set
Mud Sport,Melee,Ground,Effect,At-Will,,Put a Mud Coat on the target or yourself. The Coat has the following ability: Reduce damage from Electric attacks that hit you by 10. This Coat lasts for 2 mins.,,Cute,Hold That Thought
Mud Throw,Ranged(20ft),Ground,Special,At-Will,2d6,,,,
Mud-Slap,Ranged(5ft),Ground,Special,At-Will,1d6,"On hit, the target’s Accuracy Checks are -1 during their next turn. This effect cannot be stacked.",,Cute,Appeal
Muddy Water,"Ranged(20ft, 10ft wave)",Water,Special,1/day,3d12,"On hit, any target’s Accuracy Checks are -2 during their next turn. This effect cannot be stacked.",,Tough,Round Ender
Multi-Attack,Melee,Normal,Attack,3/day,3d10,Multi-Attack’s Type changes depending on what kind of item Type: Null or Sil-vally is holding.,,Clever,Incentives
Mystical Fire,Ranged(20ft),Fire,Special,3/day,3d8,"On hit, the target’s Special Attack is -1 for 10 mins. This effect cannot be stacked.",,Beauty,Seen Nothing Yet
Nature Power(homebrew),Ranged(20 ft),(Variable),Special,3/day,3d8,"Nature Power’s type depends on the environment you are in.
Ocean, Beach, Marsh, Freshwater: Water-type
Tundra or Taiga: Ice-type
Cavern, Mountains: Rock-type
Desert, Grasslands: Ground-type
Rainforest, Forest: Grass-type
Urban: Normal-type
In the area of a Terrain move: Same as Terrain",,Beauty,Reflective Appeal
Nature’s Madness,Ranged(25ft),Fairy,Special,1/day,,"On hit, the target’s current HP is halved.",,Tough,Appeal
Needle Arm,Melee,Grass,Attack,3/day,3d8,"On hit, if you got 14 or higher on Accuracy Check, the target is Stunned.",,Clever,Appeal
Never-Ending Nightmare,"Ranged(60ft, 20ft blast)",Ghost,(Variable),1/day,8d12,,,,
Night Daze,Ranged(10ft),Dark,Special,3/day,3d10,"On hit, the target’s Accuracy Checks are -1 during their next turn. This effect cannot be stacked.",,Tough,Unsettling
Nightmare,Ranged(40ft burst),Ghost,Effect,1/day,,"All Sleeping targets are given Nightmare Coats. The Nightmare Coat has the following ability: At the end of your turn, lose 1/3rd of your Max HP. Nightmare Coat is destroyed if the wearer is cured of Sleep or knocked out.",,,
Night Slash,Melee,Dark,Attack,3/day,3d8,"On hit, if you got 18 or higher on Accuracy Check, Night Slash is a critical hit.",,Beauty,Appeal
No Retreat,Self,Fighting,Effect,3/day,,"As a free action, as long as you can see a foe, you cannot move away from them, or be returned to a Poke Ball until you are knocked out. Your Attack, Special Attack, Defense, Special Defense, and Speed are each raised +1 for 10 mins. This effect cannot be stacked.",,Tough,Get Ready!
Nuzzle,Melee,Electric,Attack,3/day,1d10,"On hit, the target is Paralyzed.",,Cute,Appeal
Oblivion Wing,Ranged(25ft burst),Dark,Special,3/day,3d12,"On hit, you regain HP equal to the damage dealt.",,,
Obstruct,Self,Dark,Effect,1/day,,"Obstruct is used as a Reaction. If you are hit by an attack, ignore the damage and any effects of the attack. If the ignored attack was a melee attack, the attacker’s Defense is -1 for 10 mins. This effect cannot be stacked.",,Tough,Inversed Appeal
Oceanic Operetta,"Ranged(100ft, 30ft blast)",Water,Special,1/day,8d12,,,,
Octolock,Melee,Fighting,Effect,3/day,,"On hit, the target is bound to you for 1d6 rounds. While the target is bound, the target’s Defense and Special Defense is -1.",,Tough,Round Ender
Octazooka,Ranged(15ft),Water,Special,3/day,3d8,"On hit, the target’s Accuracy Checks are -3 during their next turn. This effect cannot be stacked.",,Tough,Incentives
Odor Sleuth,Self,Normal,Effect,At-Will,,You can hit Ghost-types with Normal and Fighting type moves as if they are not immune to those types of attacks for two mins.,Tracker,Clever,Good Show!
Ominous Wind,Ranged(10ft),Ghost,Special,1/day,2d8,"On hit, your Attack, Special Attack, Defense, Special Defense, and Speed are each raised +1 for 1 hour.",,Clever,Get Ready!
Origin Pulse,"Ranged(40ft, 30 ft wave)",Water,Special,3/day,5d12,,,,
Outrage,Melee,Dragon,Attack,1/day,5d12,"Move to and attack the nearest possible target within 25ft. During your next action, move to and attack the nearest possible target within 25ft, then you become Confused. Outrage can and will target allies if possible.",,Cool,Reliable
Overdrive,Ranged(10ft burst),Electric,Special,3/day,3d10,,,Cool,Attention Grabber
Overheat,Ranged(30ft burst),Fire,Special,1/day,5d12,"After use, your Special Attack is -4 for 10 mins. This effect cannot be stacked.",,Beauty,Seen Nothing Yet
Pack Mon,Ranged(20ft burst),Normal,Effect,1/day,,"Pack Mon cannot miss. All wild Pokémon targets that share an egg group with you follow your lead for 1 hour. Wild Pokémon following you will attack with you, defend with you, help to accomplish tasks, and lead others through wild areas when asked to do so by an allied Trainer. Wild Pokémon following you will not attack their own kind, actively destroy their homes, nor leave the wilds following you into a town or city.",,,
Pain Split,Melee,Normal,Effect,1/day,,"On hit, you and target’s current HPs are added together and halved, assigning both you and the target that new value. Neither can have their new HPs be more than their Max.",,Clever,Unsettling
Parabolic Charge,Melee,Electric,Special,1/day,3d12,"On hit, you regain HP equal to half of the damage dealt.",Zapper,Cool,Appeal
Payback,Melee,Dark,Attack,3/day,3d8,"If you were attacked by the target this round, use 3d12 for damage instead.",,Cool,Special Attention
Peck,Melee,Flying,Attack,At-Will,2d6,,,Cool,Appeal
Perish Song,Ranged(40ft burst),Normal,Effect,1/day,,"All possible Pokémon targets including yourself receive 3 Perish Coats. The Coats have the following ability: After acting, destroy one of your Perish Coats. If this is the third Perish Coat you’ve destroyed this way during this encounter, set your HP to 0.",,Beauty,Unsettling
Petal Blizzard,Ranged(10ft burst),Grass,Attack,3/day,3d10,,,Clever,Appeal
Petal Dance,Ranged(5ft burst),Grass,Special,1/day,5d12,"Move to and attack the nearest possible target within 25ft. During your next action, move to and attack the nearest possible target within 25ft, then you become Confused. Petal Dance can and will target allies if possible.",,Beauty,Torrential Appeal
Phantom Force,Melee,Ghost,Attack,1/day,3d12,"When you use this attack, you vanish, then you immediately end your turn. During your next turn, you reappear anywhere within 25ft of where you vanished then your movement speed is doubled and after getting to a target you may roll Phantom Force’s Accuracy Check and damage.",,Clever,Seen Nothing Yet
Photon Geyser,Ranged(160 ft beam),Psychic,Special,3/day,12d12,You cannot act during the next two rounds,,,
Pin Missile,Ranged(10ft),Bug,Attack,At-Will,1d4,Pin Missile has -2 during Accuracy Check. Pin Missile is a Scatter attack. Up to 5 attacks.,,Cool,Reliable
Plasma Fists,Melee,Electric,Attack,3/day,3d12,"For 10 mins, if you are hit by a melee attack, the attack is treated as an Electric-type attack.",,,
Play Rough,Melee,Fairy,Attack,3/day,3d10,"On hit, the target’s Attack is -1 for 10 mins. This effect cannot be stacked.",,Cute,Unsettling
Poison Fang,Melee,Poison,Attack,3/day,1d20,"On hit, if you got 10 or higher on Accuracy Check, the target is Toxified.",,Clever,Incentives
Poison Gas,Ranged(5ft burst),Poison,Effect,3/day,,"Poison Gas has -2 during Accuracy Check. On hit, all targets are Poisoned.",Repulsive,Clever,Appeal
Poison Jab,Melee,Poison,Attack,3/day,3d8,"On hit, if you got 14 or higher on Accuracy Check, the target is Poisoned.",,Clever,Incentives
Poison Powder,Melee,Poison,Effect,At-Will,,"Poison Powder has -5 during Accuracy Check. On hit, the target is Poisoned.",,Clever,Excitement
Poison Sting,Melee,Poison,Attack,At-Will,1d4,"On hit, if you got 15 or higher on Accuracy Check, the target is Poisoned.",,Clever,Excitement
Poison Tail,Melee,Poison,Attack,3/day,1d20,"On hit, if you got 14 or higher on Accuracy Check, the target is Poisoned; if you got 18 or higher on Accuracy Check, Poison Tail is a critical hit.",,Clever,Incentives
Pollen Puff,Ranged(10ft),Bug,Special,1/day,3d12,"On hit, you may choose to deal damage with Pollen Puff or heal the target’s HP equal to the amount of damage Pollen Puff would have dealt.",,Tough,Torrential Appeal
Poltergeist,Ranged(20ft),Ghost,Attack,1/day,5d12,Poltergeist cannot be used if the target has no held item.,,Cute,Unsettling
Pound,Melee,Normal,Attack,At-Will,2d6,,,Tough,Appeal
Powder,Melee,Bug,Effect,1/day,,"Powder is used as a Reaction. If you are hit by an enemy within melee range with a Fire type attack, the enemy loses HP equal to 25% of its Max HP and you ignore the damage and any effects of the Fire type attack.",,Clever,Scrambler
Powder Bomb,"Ranged(20ft, 10ft blast)",Poison,Effect,3/day,,"On hit, any targets are Poisoned.",,,
Powder Snow,Ranged(5ft burst),Ice,Special,At-Will,1d12,"On hit, if you got 19 or higher on Accuracy Check, the target is Frozen.",Freezer,Beauty,Appeal
Power Gem,Ranged(20ft),Rock,Special,3/day,3d10,,,Beauty,Appeal
Power Trip,Melee,Dark,Attack,3/day,1d20,Power Trip deals an additional 1d10 damage for each stat buff Passive the target has.,,Tough,Incentives
Power Whip,Melee,Grass,Attack,1/day,5d12,Power Whip has -2 during Accuracy Check.,Threaded,,
Power-Up Punch,Melee,Fighting,Attack,At-Will,2d6,"On hit, your Attack is +1 for 10 mins. This effect cannot be stacked.",,Tough,Appeal
Precipice Blades,Ranged(35ft burst),Ground,Attack,3/day,5d12,,,,
Present,Ranged(10ft),Normal,Attack,3/day,3d8,"On hit, you may choose to deal damage with Present or heal the target’s HP equal to the amount of damage Present would have dealt.",,Cute,Inversed Appeal
Prismatic Laser,Ranged(80ft beam),Psychic,Special,3/day,8d12,You cannot act during the next round,,,
Protect,Self,Normal,Effect,1/day,,"Protect is used as a Reaction. When you would be hit by a move, use Protect to instead ignore the damage and any effects of the attack.",,Cute,Inversed Appeal
Psybeam,Ranged(15ft beam),Psychic,Special,3/day,3d8,"On hit, if you got 18 or higher on Accuracy Check, the target is Confused.",,Beauty,Round Starter
Psychic,Ranged(25ft),Psychic,Special,3/day,3d10,"On hit, the target’s Special Defense is -1 for 10 mins. This effect cannot be stacked.",Telekinetic,Clever,Round Starter
Psychic Fangs,Melee,Psychic,Attack,3/day,3d10,"On hit, Psychic Fangs destroys all walls within melee range. Psychic Fangs can target walls.",,Cool,Appeal
Psychic Force,Ranged(40ft),Psychic,Special,1/day,5d12,"On hit, the target’s Special Defense is -1 for 10 mins. Your Defense and Special Defense is -1 for 10 mins. These effects cannot be stacked.",,,
Psychic Terrain,Field,Psychic,Effect,3/day,,"You create a circle of Psychic Terrain with a 60ft diameter. If touching the ground, within the Psychic Terrain, Priority and Reaction moves may not be used. Within the Psychic Terrain, Psychic-type attacks deal an additional 8 damage This terrain disappears after 2 mins.",,Cute,Good Show!
Psycho Cut,Ranged(20ft),Psychic,Attack,3/day,3d8,"On hit, if you got 18 or higher on Accuracy Check, Psycho Cut is a critical hit.",,Cool,Round Starter
Psycho Rage,Self,Psychic,Effect,3/day,,"Choose two other different moves except for Recover to use as your attack, ignoring their frequencies. Mewtwo may only use Psycho Rage while below 100 HP.",,,
Psycho Shift,Melee,Psychic,Effect,1/day,,"On hit, you are cured of all afflictions and the target receives each affliction you were cured of.",,Cool,Inversed Appeal
Psyshock,Ranged(20ft),Psychic,Special,3/day,3d10,Psyshock’s Accuracy Check is made against the target’s Defense.,,Clever,Incentives
Psyspikes,Ranged(10ft),Normal,Attack,At-Will,1d4,Psi Spikes has -2 during Accuracy Check. Psi Spikes is a Scatter attack. Up to 5 attacks.,,,
